IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
IPAddress,75.109.111.89,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,70.28.50.223,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,70.28.50.223,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,70.28.50.223,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,70.28.50.223,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,27.253.11.10,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,86.130.9.222,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,70.28.50.223,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,184.182.66.109,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,70.28.50.223,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,90.104.151.37,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,103.87.128.228,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,147.147.30.126,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,89.114.140.100,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,62.35.230.21,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,173.24.83.160,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,68.14.195.55,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,113.11.92.30,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,79.168.224.165,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,24.198.114.130,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,192.9.135.73,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,Pikabot,,,,,TRUE
IPAddress,90.29.86.138,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,151.65.167.77,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,199.27.66.213,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,24.234.220.88,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,24.234.220.88,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,89.115.200.234,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,98.4.43.111,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,23.234.237.3,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,136.232.179.26,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,72.4.96.62,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,116.88.76.28,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,24.234.80.122,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,91.254.145.252,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,103.134.117.111,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
IPAddress,70.49.205.191,2023-08-31T11:11:11.0Z,Block,High,Command & Control IPs,QakBot,,,,,TRUE
