IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,91-160-70-68.subs.proxad.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,host81-150-42-123.in-addr.btopenworld.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,n27-99-32-26.mrk1.qld.optusnet.com.au,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ipagstaticip-3d433af4-1f00-2a69-93e0-eb56017d6c84.sdsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ipagstaticip-3d433af4-1f00-2a69-93e0-eb56017d6c84.sdsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ipagstaticip-3d433af4-1f00-2a69-93e0-eb56017d6c84.sdsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ipagstaticip-3d433af4-1f00-2a69-93e0-eb56017d6c84.sdsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,n27-253-11-10.mrk1.qld.optusnet.com.au,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,host86-130-9-222.range86-130.btcentralplus.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ipagstaticip-3d433af4-1f00-2a69-93e0-eb56017d6c84.sdsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ip184-182-66-109.lv.lv.cox.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ipagstaticip-3d433af4-1f00-2a69-93e0-eb56017d6c84.sdsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,lfbn-nan-1-1724-37.w90-104.abo.wanadoo.fr,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,126.30.147.147.dyn.plus.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,100.140.114.89.rev.vodafone.pt,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,i15-lef01-t2-62-35-230-21.ft.lns.abo.bbox.fr,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,173-24-83-160.client.mchsi.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,wsip-68-14-195-55.no.no.cox.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,113-11-92-30-smile.com.bd,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,a79-168-224-165.cpe.netcabo.pt,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,gen-024-198-114-130.res.spectrum.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,lfbn-cae-1-626-138.w90-29.abo.wanadoo.fr,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,199-27-66-213.hersheytel.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,wsip-24-234-220-88.lv.lv.cox.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,wsip-24-234-220-88.lv.lv.cox.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,234.200.115.89.rev.vodafone.pt,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,mta-98-4-43-111.buffalo.rr.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,3-237-234-23-dedicated.multacom.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,28.76.88.116.starhub.net.sg,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,wsip-24-234-80-122.lv.lv.cox.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,Pikabot,,,,,TRUE
DomainName,bras-base-malton2345w-grc-01-70-49-205-191.dsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,a89-152-20-11.cpe.netcabo.pt,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,93-163-74-91-static.dk.customer.tdc.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,lputeaux-657-1-15-45.w90-63.abo.wanadoo.fr,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,176-151-50-50.abo.bbox.fr,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ool-2f12d529.dyn.optonline.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,static-47-181-12-202.lsan.ca.frontiernet.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ip72-207-255-226.br.br.cox.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,bl14-67-210.dsl.telepac.pt,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ip70-174-62-162.hr.hr.cox.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,brnt-01-b2-v4wan-168326-cust609.vm7.cable.virginm.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,bba-2-50-28-157.alshamil.net.ae,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,nsg-static-41.189.75.182-airtel.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,static-176-183-15-149.ncc.abo.bbox.fr,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,bras-base-knbgon2104w-grc-24-64-229-117-102.dsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,dsl.valley.104398.sxflsdch39r.sdnet.net,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,a95-94-44-23.cpe.netcabo.pt,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,host86-142-237-226.range86-142.btcentralplus.com,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,124-149-135-47.dyn.iinet.net.au,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,bras-base-kntaon1614w-grc-49-74-14-69-105.dsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,bras-base-okvlon0102w-grc-69-70-48-45-207.dsl.bell.ca,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,ppp079167223198.access.hol.gr,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,bl28-159-245.dsl.telepac.pt,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
DomainName,203-206-78-3.tpgi.com.au,2023-08-31T11:11:11.0Z,Block,High,Command & Control Domains,QakBot,,,,,TRUE
